Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,14,84,84,85,82,78,80,84,84,85,82,78,80
Aston Villa,14,79,79,79,81,78,79,79,79,79,81,78,79
Cardiff,14,79,78,79,79,77,77,79,78,79,79,77,77
Chelsea,14,86,87,85,87,81,78,86,87,85,87,81,78
Crystal Palace,14,79,79,79,78,78,76,79,79,79,78,78,76
Everton,14,80,81,83,79,79,77,80,81,83,79,79,77
Fulham,14,80,80,80,84,78,76,80,80,80,84,78,76
Hull,14,79,78,78,80,78,76,79,78,78,80,78,76
Liverpool,14,82,82,82,83,80,79,82,82,82,83,80,79
Man City,14,86,85,86,92,82,79,86,85,86,92,82,79
Man United,14,85,83,85,89,79,78,85,83,85,89,79,78
Newcastle,14,81,81,80,82,79,79,81,81,80,82,79,79
Norwich,14,79,80,79,80,78,77,79,80,79,80,78,77
Southampton,14,80,81,78,80,79,75,80,81,78,80,79,75
Stoke,14,81,79,80,82,81,76,81,79,80,82,81,76
Sunderland,14,80,79,81,81,78,77,80,79,81,81,78,77
Swansea,14,79,78,80,80,77,77,79,78,80,80,77,77
Tottenham,14,83,80,83,84,80,79,83,80,83,84,80,79
West Brom,14,80,79,81,78,79,76,80,79,81,78,79,76
West Ham,14,80,80,80,82,80,77,80,80,80,82,80,77
