Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,16,84,83,83,85,74,73,84,83,83,85,74,73
Aston Villa,16,78,79,79,76,80,77,78,79,79,76,80,77
Bournemouth,16,75,75,74,76,77,75,75,75,74,76,77,75
Chelsea,16,84,82,87,84,80,78,84,82,87,84,80,78
Crystal Palace,16,78,78,79,78,80,73,78,78,79,78,80,73
Everton,16,81,82,80,80,79,78,81,82,80,80,79,78
Leicester,16,78,77,78,78,78,75,78,77,78,78,78,75
Liverpool,16,82,81,81,82,80,74,82,81,81,82,80,74
Man City,16,85,84,86,88,83,79,85,84,86,88,83,79
Man United,16,83,82,83,81,77,76,83,82,83,81,77,76
Newcastle,16,79,78,81,76,80,77,79,78,81,76,80,77
Norwich,16,75,74,75,75,78,75,75,74,75,75,78,75
Southampton,16,79,78,79,78,79,76,79,78,79,78,79,76
Stoke,16,77,77,77,78,78,76,77,77,77,78,78,76
Sunderland,16,78,78,77,78,80,76,78,78,77,78,80,76
Swansea,16,78,76,78,77,79,74,78,76,78,77,79,74
Tottenham,16,80,80,79,78,77,77,80,80,79,78,77,77
Watford,16,78,79,77,78,80,74,78,79,77,78,80,74
West Brom,16,77,76,77,78,77,68,77,76,77,78,77,68
West Ham,16,80,80,80,79,83,78,80,80,80,79,83,78
