Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,13,81,82,80,81,79,80,81,82,80,81,79,80
Aston Villa,13,73,74,73,71,77,78,73,74,73,71,77,78
Chelsea,13,82,84,82,79,79,78,82,84,82,79,79,78
Everton,13,74,77,76,72,78,77,74,77,76,72,78,77
Fulham,13,76,78,76,71,78,77,76,78,76,71,78,77
Liverpool,13,76,76,81,73,78,77,76,76,81,73,78,77
Man City,13,83,85,80,87,83,79,83,85,80,87,83,79
Man United,13,81,82,84,76,79,78,81,82,84,76,79,78
Newcastle,13,76,78,76,69,78,78,76,78,76,69,78,78
Norwich,13,73,74,73,67,77,76,73,74,73,67,77,76
QPR,13,76,80,74,76,79,80,76,80,74,76,79,80
Reading,13,72,75,72,66,78,76,72,75,72,66,78,76
Southampton,13,72,73,72,73,77,75,72,73,72,73,77,75
Stoke,13,75,76,76,72,81,77,75,76,76,72,81,77
Sunderland,13,75,76,76,78,78,76,75,76,76,78,78,76
Swansea,13,73,75,74,72,76,77,73,75,74,72,76,77
Tottenham,13,80,81,81,75,80,80,80,81,81,75,80,80
West Brom,13,72,73,73,66,78,77,72,73,73,66,78,77
West Ham,13,72,73,72,75,78,77,72,73,72,75,78,77
Wigan,13,73,74,72,69,77,76,73,74,72,69,77,76
