Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,15,77,77,76,81,77,75,77,77,76,81,77,75
Aston Villa,15,74,74,75,77,79,76,74,74,75,77,79,76
Burnley,15,68,66,68,69,73,70,68,66,68,69,73,70
Chelsea,15,79,77,82,82,80,77,79,77,82,82,80,77
Crystal Palace,15,73,75,72,73,79,74,73,75,72,73,79,74
Everton,15,74,72,75,76,76,75,74,72,75,76,76,75
Hull,15,75,75,76,77,78,75,75,75,76,77,78,75
Leicester,15,69,70,71,66,73,72,69,70,71,66,73,72
Liverpool,15,79,78,81,80,79,79,79,78,81,80,79,79
Man City,15,81,81,83,82,82,76,81,81,83,82,82,76
Man United,15,78,74,79,83,77,78,78,74,79,83,77,78
Newcastle,15,75,76,77,73,78,76,75,76,77,73,78,76
QPR,15,74,73,75,75,77,74,74,73,75,75,77,74
Southampton,15,73,74,73,74,77,75,73,74,73,74,77,75
Stoke,15,74,72,74,78,79,71,74,72,74,78,79,71
Sunderland,15,74,76,75,71,78,73,74,76,75,71,78,73
Swansea,15,72,71,73,75,76,73,72,71,73,75,76,73
Tottenham,15,77,78,75,78,79,77,77,78,75,78,79,77
West Brom,15,75,74,76,71,80,73,75,74,76,71,80,73
West Ham,15,73,72,73,73,79,73,73,72,73,73,79,73
