Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,17,82,81,83,83,75,76,82,81,83,83,75,76
Bournemouth,17,75,76,76,76,75,78,75,76,76,76,75,78
Burnley,17,74,75,74,75,74,74,74,75,74,75,74,74
Chelsea,17,82,81,84,84,78,78,82,81,84,84,78,78
Crystal Palace,17,78,78,77,78,78,77,78,78,77,78,78,77
Everton,17,79,80,79,79,79,76,79,80,79,79,79,76
Hull,17,76,75,76,76,77,77,76,75,76,76,77,77
Leicester,17,78,77,78,79,78,75,78,77,78,79,78,75
Liverpool,17,80,79,79,80,74,77,80,79,79,80,74,77
Man City,17,83,82,83,85,75,78,83,82,83,85,75,78
Man United,17,82,80,82,84,77,76,82,80,82,84,77,76
Middlesbrough,17,75,75,75,75,78,74,75,75,75,75,78,74
Southampton,17,78,78,78,78,74,76,78,78,78,78,74,76
Stoke,17,77,77,78,77,78,75,77,77,78,77,78,75
Sunderland,17,76,75,77,76,75,72,76,75,77,76,75,72
Swansea,17,77,77,77,78,76,75,77,77,77,78,76,75
Tottenham,17,81,80,81,81,75,77,81,80,81,81,75,77
Watford,17,77,77,78,77,79,74,77,77,78,77,79,74
West Brom,17,75,76,74,72,76,71,75,76,74,72,76,71
West Ham,17,79,79,78,80,78,77,79,79,78,80,78,77
