Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,19,83,82,83,85,75,78,83,82,83,85,75,78
Bournemouth,19,77,78,76,77,74,78,77,78,76,77,74,78
Brighton,19,77,76,77,78,75,75,77,76,77,78,75,75
Burnley,19,77,76,77,76,75,71,77,76,77,76,75,71
Cardiff,19,75,75,75,75,77,76,75,75,75,75,77,76
Chelsea,19,83,83,82,86,77,76,83,83,82,86,77,76
Crystal Palace,19,79,78,78,81,78,77,79,78,78,81,78,77
Everton,19,81,81,81,79,79,78,81,81,81,79,79,78
Fulham,19,77,76,78,79,76,76,77,76,78,79,76,76
Huddersfield,19,75,75,75,76,75,76,75,75,75,76,75,76
Leicester,19,78,78,77,79,75,76,78,78,77,79,75,76
Liverpool,19,83,82,82,85,76,78,83,82,82,85,76,78
Man City,19,85,83,87,86,76,80,85,83,87,86,76,80
Man United,19,83,81,83,85,78,79,83,81,83,85,78,79
Newcastle,19,77,76,77,77,76,76,77,76,77,77,76,76
Southampton,19,76,76,77,74,76,75,76,76,77,74,76,75
Tottenham,19,82,83,82,83,77,77,82,83,82,83,77,77
Watford,19,77,77,78,76,76,75,77,77,78,76,76,75
West Ham,19,80,79,79,80,75,76,80,79,79,80,75,76
Wolves,19,75,75,75,78,75,75,75,75,75,78,75,75
