Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,18,82,81,82,84,75,76,82,81,82,84,75,76
Bournemouth,18,76,75,76,76,74,78,76,75,76,76,74,78
Brighton,18,75,74,76,76,76,74,75,74,76,76,76,74
Burnley,18,75,75,76,75,75,73,75,75,76,75,75,73
Chelsea,18,83,82,82,85,77,79,83,82,82,85,77,79
Crystal Palace,18,78,77,78,80,78,75,78,77,78,80,78,75
Everton,18,80,81,81,79,80,75,80,81,81,79,80,75
Huddersfield,18,74,74,73,74,74,76,74,74,73,74,74,76
Leicester,18,78,77,78,77,77,74,78,77,78,77,77,74
Liverpool,18,80,80,82,82,74,79,80,80,82,82,74,79
Man City,18,83,82,83,85,75,79,83,82,83,85,75,79
Man United,18,83,81,84,85,79,77,83,81,84,85,79,77
Newcastle,18,75,75,75,76,76,76,75,75,75,76,76,76
Southampton,18,77,78,77,78,75,75,77,78,77,78,75,75
Stoke,18,77,77,78,76,76,74,77,77,78,76,76,74
Swansea,18,77,76,77,77,77,76,77,76,77,77,77,76
Tottenham,18,82,81,82,82,78,77,82,81,82,82,78,77
Watford,18,77,76,77,78,78,74,77,76,77,78,78,74
West Brom,18,77,77,77,79,77,73,77,77,77,79,77,73
West Ham,18,78,78,79,77,77,75,78,78,79,77,77,75
